Date,sigma_real_abs_rt,sigma_fitted_garch
2009-06-01,141.75,645.0296713519455
2009-07-01,832.1400000000001,564.7725985818297
2009-08-01,413.90000000000003,587.3094459114589
2009-09-01,325.58,533.8525383877852
2009-10-01,191.24,482.67761449110395
2009-11-01,514.76,448.3234522088646
2009-12-01,113.92999999999999,440.4385941376411
2010-01-01,459.57,397.24927588399095
2010-02-01,379.8,432.747127504514
2010-03-01,691.59,408.82796239835557
2010-04-01,224.82000000000002,448.88459857269834
2010-05-01,726.9599999999999,407.53985410830643
2010-06-01,685.21,509.4430972877439
2010-07-01,718.6600000000001,561.4120438209955
2010-08-01,576.12,560.9157532425238
2010-09-01,832.8900000000001,571.4842809644629
2010-10-01,359.99,592.1604445840431
2010-11-01,67.41,532.5002408921306
2010-12-01,862.6300000000001,472.02608249326335
2011-01-01,225.21,532.4207044363745
2011-02-01,324.64,474.8526946750519
2011-03-01,10.16,435.65152291631085
2011-04-01,294.65,395.099765063547
2011-05-01,183.58,370.4848281735761
2011-06-01,298.63,361.76788252473705
2011-07-01,407.74,374.4824110981293
2011-08-01,501.72999999999996,405.7893515339046
2011-09-01,582.03,448.311626232695
2011-10-01,928.16,495.6922577797227
2011-11-01,31.430000000000003,564.6217811955862
2011-12-01,274.2,498.96036152711144
2012-01-01,289.62,450.7254209552956
2012-02-01,402.59999999999997,413.50858104387805
2012-03-01,330.21,397.1709223746018
2012-04-01,20.71,375.74264519116576
2012-05-01,367.49,347.2479473451453
2012-06-01,436.19000000000005,378.70875776007
2012-07-01,111.3,376.35966692134605
2012-08-01,253.09,346.23794499454
2012-09-01,396.97,329.2397506637897
2012-10-01,16.73,334.36154943791416
2012-11-01,111.17999999999999,317.14943635377244
2012-12-01,178.53,300.22670701570223
2013-01-01,663.84,289.31232368998366
2013-02-01,171.54,367.81726797066824
2013-03-01,487.43,340.90393245828466
2013-04-01,176.31,358.6444477972759
2013-05-01,231.51999999999998,333.9439953722581
2013-06-01,167.97,318.1588296205998
2013-07-01,491.39,321.31420488306355
2013-08-01,311.36,346.09949659099715
2013-09-01,288.28000000000003,366.11763942479575
2013-10-01,495.41,347.61540910332207
2013-11-01,274.5,364.82725425296445
2013-12-01,284.84,345.32129651925806
2014-01-01,482.68000000000006,331.491690108591
2014-02-01,455.91999999999996,396.5775962400936
2014-03-01,98.49,392.61191410884413
2014-04-01,133.32999999999998,359.0282901256913
2014-05-01,116.74,332.9283645303515
2014-06-01,120.68,312.4070187717708
2014-07-01,240.39000000000001,296.70654513352866
2014-08-01,399.92,318.64159062615124
2014-09-01,153.79,327.3252702274344
2014-10-01,276.74,325.90324692706406
2014-11-01,337.78000000000003,316.0925617835377
2014-12-01,59.760000000000005,316.1228557624544
2015-01-01,403.27000000000004,299.82441868395
2015-02-01,602.24,356.9207460402854
2015-03-01,148.12,393.8509573054531
2015-04-01,73.0,374.7788408498743
2015-05-01,142.75,345.1084236589275
2015-06-01,220.22,322.2996180113292
2015-07-01,119.41,332.6173082142899
2015-08-01,589.72,312.1978264648759
2015-09-01,280.73,415.46833216512874
2015-10-01,924.8100000000001,409.85682353421385
2015-11-01,23.330000000000002,511.37047556852013
2015-12-01,179.74,455.69969923842336
2016-01-01,459.46,426.0140742334734
2016-02-01,61.449999999999996,452.1078894005119
2016-03-01,709.26,406.87086163499276
2016-04-01,126.1,451.8385804173892
2016-05-01,59.019999999999996,406.5359764040273
2016-06-01,156.92,370.4493090762934
2016-07-01,330.93,342.45500639169273
2016-08-01,13.0,334.55709442214646
2016-09-01,19.5,317.0610069525008
2016-10-01,169.29000000000002,301.9376624237839
2016-11-01,603.77,309.97242922384993
2016-12-01,166.57,364.30268737742296
2017-01-01,99.82,337.9717422227796
2017-02-01,341.84000000000003,316.20597942951144
2017-03-01,52.99,316.7612932816746
2017-04-01,3.2099999999999995,306.60872745760093
2017-05-01,36.730000000000004,294.87290924941425
2017-06-01,152.07,288.92750130319394
2017-07-01,251.89,279.7148089812663
2017-08-01,119.33,279.5888496776125
2017-09-01,327.0,286.93195887064024
2017-10-01,42.35,293.75153136455833
