Date,SMALL LoINV,ME1 INV2,SMALL HiINV,BIG LoINV,ME2 INV2,BIG HiINV
197011,2.0719,2.9722,0.2940,6.0443,5.3824,5.0406
197012,8.8350,9.1421,8.4178,5.4038,6.4428,5.2262
197101,14.2000,10.7493,11.1726,3.3439,4.0269,6.4826
197102,2.7735,3.1125,4.4726,1.9502,1.1789,1.8523
197103,5.1029,6.0065,7.4126,3.1530,3.9228,6.1365
197104,3.8103,4.3383,2.1931,4.3781,2.8386,4.2941
197105,-4.0729,-4.9762,-5.4886,-3.7423,-3.8784,-2.7246
197106,-2.7289,0.2567,-1.0108,-0.5400,0.5554,1.0894
197107,-5.3058,-4.0834,-6.7914,-4.0552,-3.2243,-5.3420
197108,5.4517,4.2968,3.9797,8.0479,3.2820,4.3372
197109,-1.8730,-0.5488,0.8669,-0.7345,-0.4586,-0.3096
197110,-6.1571,-5.2394,-5.1504,-5.2432,-3.6387,-3.4756
197111,-2.9624,-2.7012,-3.1840,-0.4643,0.1446,0.6431
197112,12.3386,10.6235,12.9473,7.0943,8.7142,9.8428
197201,9.9205,7.3923,8.2155,3.0040,1.0092,3.6386
197202,4.0642,2.6616,3.5256,2.1411,3.0690,3.6766
197203,-0.1902,0.0209,1.0438,2.0219,0.4492,1.1922
197204,1.0357,0.6238,0.8271,-1.3197,0.7352,1.0094
197205,-1.6846,-1.9957,-1.7938,-0.9710,2.0393,3.0727
197206,-2.4676,-3.2580,-3.5238,-3.1247,-2.0993,-1.3664
197207,-3.5800,-2.6482,-4.1862,-2.0798,0.2894,-0.0603
197208,1.9550,1.8671,-0.0933,6.3513,4.0257,2.6086
197209,-3.7795,-2.5022,-2.8630,-3.4763,-0.0315,-0.4591
197210,-1.3533,-0.1718,-2.7272,0.1116,1.0529,1.4250
197211,6.0639,6.0729,3.8910,8.1772,4.9656,3.6722
197212,-1.7246,-1.0257,-1.5060,-2.3717,1.7463,1.6920
197301,-4.4942,-5.1048,-6.4478,-4.1750,-0.8596,-4.0309
197302,-7.8887,-6.9754,-9.7441,-5.3686,-3.7333,-3.6056
197303,-1.2678,-3.3928,-2.9150,-1.5053,0.0737,-0.8656
197304,-6.1162,-5.0569,-9.3329,-4.0003,-3.6570,-5.8222
197305,-8.8141,-7.4989,-8.5751,-4.2224,-1.3983,-1.0601
197306,-2.7522,-2.7627,-5.1017,-3.0221,-0.3615,-0.8435
197307,10.1166,10.6675,15.2803,6.2437,3.2395,7.5325
197308,-4.2977,-4.2293,-4.4131,-1.2129,-3.2494,-3.5858
197309,9.7968,8.9240,10.7249,8.6560,4.2753,4.2598
197310,1.2419,0.2832,-1.9265,1.7643,-0.3954,-0.5198
197311,-17.9448,-17.5553,-20.8125,-13.2083,-10.3479,-13.6534
197312,-1.5127,-2.6081,-1.8996,4.6569,1.5303,0.1727
197401,14.5475,10.2077,7.7629,0.9318,-0.5286,-1.2651
197402,1.7914,1.1214,-0.5428,2.5561,-0.4300,-0.4474
197403,-0.1666,0.2880,-0.5407,-2.0389,-2.3496,-2.5370
197404,-3.5761,-5.1114,-6.3448,-2.8143,-4.6071,-4.3246
197405,-6.8071,-6.8614,-8.1589,-4.3819,-3.4078,-2.3662
197406,-1.0698,-1.3248,-3.7526,-1.1196,-1.2556,-4.4061
197407,-3.6259,-3.7799,-6.1596,-3.5911,-7.5246,-10.0586
197408,-6.1780,-8.0894,-9.5765,-8.4527,-8.1746,-10.2367
197409,-6.6524,-7.2260,-11.5079,-7.8025,-10.6862,-14.5950
197410,9.0668,9.3781,10.9648,18.3314,15.5302,22.2576
197411,-3.1996,-4.3030,-6.3474,-1.5295,-4.2951,-4.1827
197412,-5.6998,-5.3013,-8.5471,-1.2056,-1.3664,-5.1251
197501,26.9154,25.9071,28.7009,13.4974,12.6677,13.8211
197502,4.4247,3.9755,4.7307,3.1975,6.5718,7.1168
197503,6.0988,6.7922,9.3823,5.1429,1.5390,4.5474
197504,3.9617,3.9859,4.5727,4.8945,3.8407,7.0317
197505,6.7748,7.7066,9.0148,5.4844,5.9179,4.3625
197506,7.1803,7.4941,6.5588,6.0152,5.1236,4.4868
197507,-2.3576,-2.2546,-3.0962,-4.6780,-7.1587,-6.4158
197508,-5.4208,-4.2945,-5.1347,-3.7602,-1.6223,-2.0731
197509,-3.4876,-4.0448,-3.5889,-3.6771,-2.8141,-4.7060
197510,2.9473,2.3269,2.1241,8.2894,7.5387,4.5599
197511,2.6435,2.8443,2.0337,4.2102,4.3919,1.3391
197512,-0.6332,-0.1525,-2.0689,-0.9066,-1.3087,-1.0079
197601,20.8796,18.6180,18.8861,14.1720,12.0399,11.4982
197602,10.1595,8.1140,7.8493,3.4342,-0.1215,-1.6509
197603,2.4662,1.5858,0.7644,3.3127,2.7251,3.0444
197604,-1.4234,-0.9433,-1.0538,-2.0073,-1.6055,-0.2782
197605,-2.7768,-1.9440,-1.7455,-1.4093,-1.7387,0.3481
197606,3.9512,3.8000,4.0538,6.1098,4.8204,3.9638
197607,0.1016,0.9527,-0.4358,-0.8282,-0.3802,-0.9004
197608,-2.4347,-1.1357,-2.6195,-1.8071,0.9415,-0.4908
197609,1.7356,3.1393,3.3462,2.3695,2.1519,3.0304
197610,-2.1899,-1.8975,-2.1587,-2.9015,-1.7300,-2.1828
197611,2.9742,3.6760,3.8471,0.6346,1.2199,-0.3848
197612,10.7522,9.5670,8.9045,7.7195,5.9642,4.7565
197701,2.8725,1.9375,1.7722,-2.9895,-3.5170,-5.7438
197702,-1.0517,0.0506,-1.2199,-2.3499,-1.5489,-1.8099
197703,0.0912,0.7832,0.3646,-0.9550,-1.4235,-1.0089
197704,2.0912,1.4164,1.3929,0.8672,0.8947,-0.5087
197705,0.1309,0.0835,0.0472,-1.3752,-0.8324,-1.7283
197706,7.1066,5.5565,7.7730,4.0236,4.2464,5.8951
197707,0.1210,0.1174,0.2894,-1.3516,-1.3577,-1.7643
197708,-1.7771,-0.5471,0.1921,-0.2802,-1.9473,-0.9178
197709,1.0328,1.6318,1.3653,-1.3850,0.4539,-0.4193
197710,-3.3473,-1.2931,-2.9954,-4.3913,-4.2602,-3.8156
197711,8.2998,7.7190,7.7246,5.1586,3.6696,4.3646
197712,1.9718,1.3266,2.6313,-0.2518,0.6830,0.4065
197801,-1.5897,-2.9446,-3.9354,-5.4786,-5.7958,-6.2479
197802,3.0073,1.8471,1.9436,-1.4541,-0.7611,-2.4932
197803,8.3336,6.1398,6.1006,3.8464,3.2813,2.0849
197804,7.4706,7.1971,9.4052,9.6113,7.4769,10.2177
197805,6.8679,4.4455,7.4529,2.7332,1.4157,1.5683
